id,source_sheet,source_row,posted_at,category,tools,outcome,before,after,quant_effect,qualitative_effect,internal_rollout,notes,needs_industry_generalization
0001,業務系の面談ログ_Gen,2,2025-07-17T06:47:19.828Z,"定型フロー自動化, 画像・動画生成, その他","ChatGPT, Dify, その他",部分的成功・進行中,,,,チャットGPT入門2周目完了、SNS運用へのAI活用が進行中,,受講期間10月6日まで、8月から領収書・交通費申請のワークフロー構築予定、画像・動画系に強い講師へのバトンタッチ検討中,
0002,業務系の面談ログ_Gen,3,2025-07-17T06:48:51.004Z,議事録・文章作成,ChatGPT,検討・提案段階,,,,,,GPTsによる新情報の原稿作成で課題があり、指示方法の改善を検討中。プロンプト共有によるブラッシュアップを予定,
0003,業務系の面談ログ_Gen,4,2025-07-18T12:18:16.699Z,"データ集計・分析, 定型フロー自動化, 画像・動画生成, 情報収集・リサーチ, 資料・スライド作成","ChatGPT, Gemini, Dify, その他",検討・提案段階,,,,,,過去1週間学習が進んでいない状況。現地従業員実装・神谷さん提案検証の役割分担。複数の業務自動化案を具体的に検討,
0004,業務系の面談ログ_Gen,5,2025-07-20T03:32:01.077Z,"議事録・文章作成, データ集計・分析, 定型フロー自動化","ChatGPT, その他",検討・提案段階,,,,,,Makeは会社で利用不可。芝犬博士教材でPDFアップロード時のタイムアウト発生。有料版ChatGPTでプロンプト作成予定,
0005,業務系の面談ログ_Gen,6,2025-07-20T10:12:19.685Z,"定型フロー自動化, 情報収集・リサーチ, データ集計・分析",その他,検討・提案段階,,,,,,会社のExcelでCopilotボタンが表示されない問題発生。SharePointでのナレッジポータル構築を提案。,
0006,業務系の面談ログ_Gen,7,2025-07-21T11:46:42.349Z,"データ集計・分析, 情報収集・リサーチ, 資料・スライド作成","ChatGPT, Gemini, Claude, NotebookLM, Dify",検討・提案段階,,,,,,AIツールの利用を始めたばかりで自己流で試行錯誤中。動物関連の副業でのAI活用を検討。診断支援ツールの構築可能性についても議論,
0007,業務系の面談ログ_Gen,8,2025-07-22T04:48:54.349Z,"データ集計・分析, 定型フロー自動化, 資料・スライド作成, 情報収集・リサーチ","ChatGPT, Gemini, Dify, GenSpark, その他",部分的成功・進行中,,,,N8NとGoogleドライブ連携の方向性確定、スライド作成ワークフローの改善案提示,,Googleスプレッドシート直接読み込みエラー対応、セルフホスト環境をAWS Lightsail無料枠で検証中、複数のスライド作成ツール比較検討,
0008,業務系の面談ログ_Gen,9,2025-07-22T10:44:25.404Z,その他,その他,部分的成功・進行中,,,,チラシ配布によりプログラミング教室への問い合わせ2件と体験会予約を獲得,,最終面談。プログラミング教室の集客活動実施中。クラウドワークス終了。,
0009,業務系の面談ログ_Gen,10,2025-07-23T03:32:41.000Z,"議事録・文章作成, 資料・スライド作成","ChatGPT, Gemini, その他",検討・提案段階,,,,プロンプトエンジニアリング学習が6割完了,,AIエージェントやGoogle GemsでのカスタムAI作成、外部ツール連携の実用性を検討段階,
0010,業務系の面談ログ_Gen,11,2025-07-23T11:27:38.135Z,"議事録・文章作成, データ集計・分析, 情報収集・リサーチ, 資料・スライド作成","ChatGPT, Gemini, Claude, NotebookLM, Dify",検討・提案段階,,,,,,フェロー入門まで視聴済み。Confluenceを活用した顧客管理とKintoneが使えない課題がある,
